net,length_um
net91,943µm
clknet_0_u_ibex_top.clk,855.52µm
net1310,818.78µm
net2691,789µm
net1295,761.35µm
_02523_,754.035µm
clknet_2_1_0_u_ibex_top.clk,753.24µm
net1294,745.36µm
clk_i,740.5µm
net159,738.2µm
net77,737.12µm
_04835_,732.515µm
clknet_2_0_0_u_ibex_top.clk,730.73µm
net1395,726.96µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[5\],716.6µm
net1352,716.56µm
clknet_2_3_0_u_ibex_top.clk,716.27µm
net35,713.7µm
_05925_,712.83µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[6\],708.775µm
_05710_,706.22µm
net1375,703.305µm
_04820_,702.31µm
net1,699.25µm
net1363,697.79µm
net1374,694.83µm
net1360,693.43µm
net76,683.915µm
net1913,679.075µm
_04650_,665.61µm
net1355,661.16µm
clknet_2_2_0_u_ibex_top.clk,661.12µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[31\],661.08µm
net1353,658.48µm
net2116,657.71µm
net1377,654.02µm
_05858_,653.42µm
net1372,652.67µm
_07002_,650.85µm
_05825_,650.53µm
_02555_,643.84µm
net1915,642.775µm
net1354,640.94µm
net75,636.96µm
net2697,636.585µm
_06095_,633.95µm
net74,632.805µm
net1546,632.49µm
_06306_,628.445µm
_05611_,628.3µm
net1393,616.045µm
net1379,615.66µm
net1378,609.69µm
net73,609.155µm
_02554_,602.3µm
_07415_,600.39µm
_04793_,599.135µm
net1351,597.01µm
u_ibex_top.gen_regfile_ff.register_file_i.raddr_b_i\[4\],593.99µm
net1383,591.21µm
_02567_,588.88µm
net1024,585.62µm
net1380,581.855µm
net1394,580.34µm
_02557_,576.87µm
net1949,573.96µm
_02558_,572.66µm
_05647_,568.99µm
_05739_,567.54µm
net1385,564.535µm
net860,563.56µm
_05427_,563.33µm
net1283,560.94µm
net945,560.62µm
_05005_,558.79µm
net1291,555.29µm
net1392,554.035µm
_05513_,551.935µm
_04904_,549.965µm
net84,546.45µm
_05553_,544.25µm
net1701,543.78µm
_05768_,541.27µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[4\],540.72µm
_02559_,540.64µm
_04767_,536.48µm
net879,533.28µm
net2026,532.19µm
net86,530.125µm
_05256_,529.85µm
net1278,529.12µm
_04996_,527.11µm
net2294,527.03µm
net731,526.24µm
net2160,525.38µm
_04619_,524.965µm
net926,524.39µm
net1953,523.37µm
net1764,520.12µm
_08412_,519.24µm
net1025,518.39µm
net1020,518.025µm
net733,511.37µm
net1376,509.575µm
net1026,509.24µm
net1757,507.98µm
net2301,506.685µm
net523,505.37µm
net530,502.44µm
net525,502.15µm
_04739_,500.15µm
net515,499.585µm
net1382,498.48µm
_08622_,496.96µm
net510,496.89µm
net85,496.5µm
net528,495.075µm
_04740_,494.815µm
net1027,494.4µm
net1358,492.825µm
_04879_,492.32µm
net2307,492.215µm
_06245_,489.92µm
net2302,489.64µm
net533,488.66µm
_06282_,488.09µm
net735,488µm
net508,487.92µm
net1853,486.22µm
net1140,485.23µm
_02561_,484.32µm
net1781,481.94µm
net1281,481.27µm
_04206_,480.98µm
_04261_,480.26µm
net1237,477.82µm
_02560_,477.72µm
net527,477.54µm
net1823,476.72µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[41\],476.41µm
_04504_,475.685µm
net2288,475.3µm
_04594_,472.83µm
_02540_,472.45µm
net531,469.03µm
net1588,466.17µm
net518,465.235µm
