Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_1597,VGND,li1,741.5200,734.4000,0.000020
FILLER_266_1595,VGND,li1,739.4500,734.4000,0.000020
FILLER_266_1589,VGND,li1,737.8400,734.4000,0.000020
FILLER_266_1577,VGND,li1,733.7000,734.4000,0.000020
FILLER_266_1569,VGND,li1,728.1800,734.4000,0.000019
FILLER_266_1565,VGND,li1,726.1100,734.4000,0.000019
FILLER_266_1553,VGND,li1,722.6600,734.4000,0.000019
FILLER_266_1541,VGND,li1,717.1400,734.4000,0.000019
FILLER_266_1537,VGND,li1,713.2300,734.4000,0.000019
FILLER_266_1525,VGND,li1,709.7800,734.4000,0.000019
FILLER_266_1513,VGND,li1,704.2600,734.4000,0.000019
FILLER_266_1500,VGND,li1,698.2800,734.4000,0.000019
FILLER_266_1493,VGND,li1,692.9900,734.4000,0.000019
FILLER_266_1485,VGND,li1,690.4600,734.4000,0.000019
FILLER_266_1483,VGND,li1,687.9300,734.4000,0.000018
FILLER_266_1477,VGND,li1,686.3200,734.4000,0.000018
FILLER_266_1465,VGND,li1,682.1800,734.4000,0.000018
FILLER_266_1429,VGND,li1,663.5500,734.4000,0.000015
FILLER_266_1427,VGND,li1,662.1700,734.4000,0.000015
FILLER_266_1423,VGND,li1,661.0200,734.4000,0.000015
FILLER_266_1413,VGND,li1,656.8800,734.4000,0.000013
FILLER_266_1401,VGND,li1,652.7400,734.4000,0.000012
FILLER_266_1397,VGND,li1,648.8300,734.4000,0.000010
FILLER_266_1385,VGND,li1,645.3800,734.4000,0.000009
FILLER_266_1373,VGND,li1,639.8600,734.4000,0.000006
FILLER_266_1369,VGND,li1,635.9500,734.4000,0.000007
FILLER_266_1357,VGND,li1,632.5000,734.4000,0.000008
FILLER_266_1345,VGND,li1,626.9800,734.4000,0.000009
FILLER_266_1337,VGND,li1,621.2300,734.4000,0.000011
FILLER_266_1329,VGND,li1,618.7000,734.4000,0.000011
FILLER_266_1317,VGND,li1,614.1000,734.4000,0.000012
FILLER_266_1313,VGND,li1,610.1900,734.4000,0.000013
FILLER_266_1301,VGND,li1,606.7400,734.4000,0.000013
FILLER_266_1289,VGND,li1,601.2200,734.4000,0.000014
FILLER_266_1287,VGND,li1,597.7700,734.4000,0.000015
FILLER_266_1281,VGND,li1,596.1600,734.4000,0.000015
FILLER_266_1269,VGND,li1,592.0200,734.4000,0.000015
FILLER_266_1261,VGND,li1,586.5000,734.4000,0.000016
FILLER_266_1251,VGND,li1,581.2100,734.4000,0.000016
FILLER_266_1245,VGND,li1,579.6000,734.4000,0.000016
