Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_1597,VPWR,li1,741.5200,737.1200,1.799987
FILLER_266_1595,VPWR,li1,739.4500,737.1200,1.799987
FILLER_266_1589,VPWR,li1,737.8400,737.1200,1.799987
FILLER_266_1577,VPWR,li1,733.7000,737.1200,1.799987
FILLER_266_1569,VPWR,li1,728.1800,737.1200,1.799987
FILLER_266_1565,VPWR,li1,726.1100,737.1200,1.799987
FILLER_266_1553,VPWR,li1,722.6600,737.1200,1.799987
FILLER_266_1541,VPWR,li1,717.1400,737.1200,1.799987
FILLER_266_1537,VPWR,li1,713.2300,737.1200,1.799987
FILLER_266_1525,VPWR,li1,709.7800,737.1200,1.799987
FILLER_266_1513,VPWR,li1,704.2600,737.1200,1.799987
FILLER_266_1500,VPWR,li1,698.2800,737.1200,1.799987
FILLER_266_1493,VPWR,li1,692.9900,737.1200,1.799987
FILLER_266_1485,VPWR,li1,690.4600,737.1200,1.799988
FILLER_266_1483,VPWR,li1,687.9300,737.1200,1.799988
FILLER_266_1477,VPWR,li1,686.3200,737.1200,1.799988
FILLER_266_1465,VPWR,li1,682.1800,737.1200,1.799988
FILLER_266_1429,VPWR,li1,663.5500,737.1200,1.799990
FILLER_266_1427,VPWR,li1,662.1700,737.1200,1.799991
FILLER_266_1423,VPWR,li1,661.0200,737.1200,1.799991
FILLER_266_1413,VPWR,li1,656.8800,737.1200,1.799992
FILLER_266_1401,VPWR,li1,652.7400,737.1200,1.799992
FILLER_266_1397,VPWR,li1,648.8300,737.1200,1.799993
FILLER_266_1385,VPWR,li1,645.3800,737.1200,1.799994
FILLER_266_1373,VPWR,li1,639.8600,737.1200,1.799995
FILLER_266_1369,VPWR,li1,635.9500,737.1200,1.799996
FILLER_266_1357,VPWR,li1,632.5000,737.1200,1.799995
FILLER_266_1345,VPWR,li1,626.9800,737.1200,1.799994
FILLER_266_1337,VPWR,li1,621.2300,737.1200,1.799993
FILLER_266_1329,VPWR,li1,618.7000,737.1200,1.799993
FILLER_266_1317,VPWR,li1,614.1000,737.1200,1.799993
FILLER_266_1313,VPWR,li1,610.1900,737.1200,1.799992
FILLER_266_1301,VPWR,li1,606.7400,737.1200,1.799992
FILLER_266_1289,VPWR,li1,601.2200,737.1200,1.799991
FILLER_266_1287,VPWR,li1,597.7700,737.1200,1.799990
FILLER_266_1281,VPWR,li1,596.1600,737.1200,1.799990
FILLER_266_1269,VPWR,li1,592.0200,737.1200,1.799990
FILLER_266_1261,VPWR,li1,586.5000,737.1200,1.799989
FILLER_266_1251,VPWR,li1,581.2100,737.1200,1.799989
FILLER_266_1245,VPWR,li1,579.6000,737.1200,1.799989
FILLER_266_1233,VPWR,li1,575.4600,737.1200,1.799989
FILLER_266_1229,VPWR,li1,571.5500,737.1200,1.799989
FILLER_266_1217,VPWR,li1,568.1000,737.1200,1.799989
FILLER_266_1205,VPWR,li1,562.5800,737.1200,1.799989
FILLER_266_1202,VPWR,li1,558.9000,737.1200,1.799989
