Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,134
design__inferred_latch__count,0
design__instance__count,11943
design__instance__area,151308.867200
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4314
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,396
design__max_cap_violation__count__corner:nom_tt_025C_1v80,19
power__internal__total,0.010929979383945465
power__switching__total,0.008738577365875244
power__leakage__total,1.4139476434138487E-7
power__total,0.01966869831085205
clock__skew__worst_hold__corner:nom_tt_025C_1v80,12.157774686670074
clock__skew__worst_setup__corner:nom_tt_025C_1v80,12.657774742181227
timing__hold__ws__corner:nom_tt_025C_1v80,0.03912781320807945
timing__setup__ws__corner:nom_tt_025C_1v80,17.86698128907777
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.039128
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,24.325840
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6411
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,396
design__max_cap_violation__count__corner:nom_ss_100C_1v60,51
clock__skew__worst_hold__corner:nom_ss_100C_1v60,18.721510205336866
clock__skew__worst_setup__corner:nom_ss_100C_1v60,19.221508484491128
timing__hold__ws__corner:nom_ss_100C_1v60,0.27469050034311443
timing__setup__ws__corner:nom_ss_100C_1v60,12.612244050564444
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.274691
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.612244
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,2940
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,396
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,12
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,9.403558198281175
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,9.903558253792328
timing__hold__ws__corner:nom_ff_n40C_1v95,-0.052192918131374694
timing__setup__ws__corner:nom_ff_n40C_1v95,18.691381416131698
timing__hold__tns__corner:nom_ff_n40C_1v95,-0.052192918131374694
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-0.052192918131374694
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,1
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,-0.052193
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,1
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,24.470222
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6411
design__max_fanout_violation__count,396
design__max_cap_violation__count,51
clock__skew__worst_hold,18.721510205336866
clock__skew__worst_setup,9.903558253792328
timing__hold__ws,-0.052192918131374694
timing__setup__ws,12.612244050564444
timing__hold__tns,-0.052192918131374694
timing__setup__tns,0.0
timing__hold__wns,-0.052192918131374694
timing__setup__wns,0.0
timing__hold_vio__count,1
timing__hold_r2r__ws,-0.052193
timing__hold_r2r_vio__count,1
timing__setup_vio__count,0
timing__setup_r2r__ws,12.612244
timing__setup_r2r_vio__count,0
